food_label,years,unit,amount
Apples,2000,t,208800.0
Apples,2001,t,211800.0
Apples,2002,t,179400.0
Apples,2003,t,143900.0
Apples,2004,t,170400.0
Apples,2005,t,218100.0
Apples,2006,t,269239.0
Apples,2007,t,243100.0
Apples,2008,t,242900.0
Apples,2009,t,229000.0
Apples,2010,t,235450.0
Apples,2011,t,239890.0
Apples,2012,t,203550.0
Apples,2013,t,398500.0
Apples,2014,t,451400.0
Apples,2015,t,459600.0
Apples,2016,t,481100.0
Apples,2017,t,535300.0
Apples,2018,t,548721.0
Apples,2019,t,610443.91
Apples,2020,t,631597.46
Apples,2021,t,392459.39
Apples,2022,t,470123.78
Apples,2023,t,407769.78
Asparagus,2000,t,1670.0
Asparagus,2001,t,1500.0
Asparagus,2002,t,1700.0
Asparagus,2003,t,1700.0
Asparagus,2004,t,1700.0
Asparagus,2005,t,2300.0
Asparagus,2006,t,2400.0
Asparagus,2007,t,3000.0
Asparagus,2008,t,3218.0
Asparagus,2009,t,3500.0
Asparagus,2010,t,3900.0
Asparagus,2011,t,5100.0
Asparagus,2012,t,5370.0
Asparagus,2013,t,4920.0
Asparagus,2014,t,5792.0
Asparagus,2015,t,5393.0
Asparagus,2016,t,5855.0
Asparagus,2017,t,4958.0
Asparagus,2018,t,4984.0
Asparagus,2019,t,5023.0
Asparagus,2020,t,5262.0
Asparagus,2021,t,4317.56
Asparagus,2022,t,4044.87
Asparagus,2023,t,4703.38
Barley,2000,t,6492000.0
Barley,2001,t,6660000.0
Barley,2002,t,6128000.0
Barley,2003,t,6360000.0
Barley,2004,t,5799000.0
Barley,2005,t,5495000.0
Barley,2006,t,5239000.0
Barley,2007,t,5079000.0
Barley,2008,t,6144000.0
Barley,2009,t,6668000.0
Barley,2010,t,5252000.0
Barley,2011,t,5494000.0
Barley,2012,t,5522000.0
Barley,2013,t,7092000.0
Barley,2014,t,6911000.0
Barley,2015,t,7370000.0
Barley,2016,t,6655000.0
Barley,2017,t,7169000.0
Barley,2018,t,6510000.0
Barley,2019,t,8048000.0
Barley,2020,t,8117000.0
Barley,2021,t,6961000.0
Barley,2022,t,7385000.0
Barley,2023,t,6963000.0
"Beer of barley, malted",2000,t,5527900.0
"Beer of barley, malted",2001,t,5680200.0
"Beer of barley, malted",2002,t,5667200.0
"Beer of barley, malted",2003,t,5801400.0
"Beer of barley, malted",2004,t,5745900.0
"Beer of barley, malted",2005,t,5625500.0
"Beer of barley, malted",2006,t,5376300.0
"Beer of barley, malted",2007,t,5134100.0
"Beer of barley, malted",2008,t,4946900.0
"Beer of barley, malted",2009,t,4514100.0
"Beer of barley, malted",2010,t,4499700.0
"Beer of barley, malted",2011,t,4569400.0
"Beer of barley, malted",2012,t,4296200.0
"Beer of barley, malted",2013,t,4195600.0
"Beer of barley, malted",2014,t,4120400.0
"Beer of barley, malted",2015,t,4405400.0
"Beer of barley, malted",2016,t,4373400.0
"Beer of barley, malted",2017,t,4048000.0
"Beer of barley, malted",2018,t,4073000.0
"Beer of barley, malted",2019,t,3924700.0
"Beer of barley, malted",2020,t,3221700.0
"Beer of barley, malted",2021,t,3838200.0
"Beer of barley, malted",2022,t,3752000.0
"Broad beans and horse beans, dry",2000,t,180000.0
"Broad beans and horse beans, dry",2001,t,86000.0
"Broad beans and horse beans, dry",2002,t,110000.0
"Broad beans and horse beans, dry",2003,t,170000.0
"Broad beans and horse beans, dry",2004,t,113500.0
"Broad beans and horse beans, dry",2005,t,100000.0
"Broad beans and horse beans, dry",2006,t,120000.0
"Broad beans and horse beans, dry",2007,t,110000.0
"Broad beans and horse beans, dry",2008,t,100000.0
"Broad beans and horse beans, dry",2009,t,180000.0
"Broad beans and horse beans, dry",2010,t,350000.0
"Broad beans and horse beans, dry",2011,t,300000.0
"Broad beans and horse beans, dry",2012,t,250000.0
"Broad beans and horse beans, dry",2013,t,270000.0
"Broad beans and horse beans, dry",2014,t,382671.91
"Broad beans and horse beans, dry",2015,t,463777.46
"Broad beans and horse beans, dry",2016,t,651000.0
"Broad beans and horse beans, dry",2017,t,770700.0
"Broad beans and horse beans, dry",2018,t,401960.0
"Broad beans and horse beans, dry",2019,t,547800.0
"Broad beans and horse beans, dry",2020,t,554020.0
"Broad beans and horse beans, dry",2021,t,694235.0
"Broad beans and horse beans, dry",2022,t,635277.0
"Broad beans and horse beans, dry",2023,t,685264.0
"Broad beans and horse beans, green",2000,t,12900.0
"Broad beans and horse beans, green",2001,t,11000.0
"Broad beans and horse beans, green",2002,t,10300.0
"Broad beans and horse beans, green",2003,t,27300.0
"Broad beans and horse beans, green",2004,t,22080.0
"Broad beans and horse beans, green",2005,t,22550.0
"Broad beans and horse beans, green",2006,t,22080.0
"Broad beans and horse beans, green",2007,t,22310.0
"Broad beans and horse beans, green",2008,t,21390.0
"Broad beans and horse beans, green",2009,t,26680.0
"Broad beans and horse beans, green",2010,t,27140.0
"Broad beans and horse beans, green",2011,t,11283.0
"Broad beans and horse beans, green",2012,t,11505.0
"Broad beans and horse beans, green",2013,t,14481.0
"Broad beans and horse beans, green",2014,t,12876.0
"Broad beans and horse beans, green",2015,t,14867.0
"Broad beans and horse beans, green",2016,t,36000.0
"Broad beans and horse beans, green",2017,t,30000.0
"Broad beans and horse beans, green",2018,t,30000.0
"Broad beans and horse beans, green",2019,t,32000.0
"Broad beans and horse beans, green",2020,t,30666.67
"Broad beans and horse beans, green",2021,t,30888.89
"Broad beans and horse beans, green",2022,t,31185.19
"Broad beans and horse beans, green",2023,t,30913.58
Butter of cow milk,2000,t,132000.0
Butter of cow milk,2001,t,126000.0
Butter of cow milk,2002,t,136000.0
Butter of cow milk,2003,t,131000.0
Butter of cow milk,2004,t,122000.0
Butter of cow milk,2005,t,130000.0
Butter of cow milk,2006,t,117000.0
Butter of cow milk,2007,t,120000.0
Butter of cow milk,2008,t,111000.0
Butter of cow milk,2009,t,118000.0
Butter of cow milk,2010,t,120000.0
Butter of cow milk,2011,t,130000.0
Butter of cow milk,2012,t,145000.0
Butter of cow milk,2013,t,145000.0
Butter of cow milk,2014,t,143000.0
Butter of cow milk,2015,t,145000.0
Butter of cow milk,2016,t,143000.0
Butter of cow milk,2017,t,161000.0
Butter of cow milk,2018,t,152000.0
Butter of cow milk,2019,t,194000.0
Butter of cow milk,2020,t,200000.0
Butter of cow milk,2021,t,214100.0
Butter of cow milk,2022,t,208600.0
Cabbages,2000,t,321500.0
Cabbages,2001,t,336900.0
Cabbages,2002,t,286700.0
Cabbages,2003,t,285000.0
Cabbages,2004,t,267000.0
Cabbages,2005,t,309400.0
Cabbages,2006,t,305800.0
Cabbages,2007,t,258600.0
Cabbages,2008,t,279100.0
Cabbages,2009,t,277500.0
Cabbages,2010,t,291700.0
Cabbages,2011,t,281300.0
Cabbages,2012,t,267800.0
Cabbages,2013,t,271400.0
Cabbages,2014,t,283000.0
Cabbages,2015,t,332317.0
Cabbages,2016,t,283071.0
Cabbages,2017,t,275522.0
Cabbages,2018,t,214818.0
Cabbages,2019,t,192297.66
Cabbages,2020,t,211064.59
Cabbages,2021,t,200011.0
Cabbages,2022,t,177265.13
Cabbages,2023,t,166339.48
Carrots and turnips,2000,t,857900.0
Carrots and turnips,2001,t,901800.0
Carrots and turnips,2002,t,822300.0
Carrots and turnips,2003,t,698900.0
Carrots and turnips,2004,t,768100.0
Carrots and turnips,2005,t,813200.0
Carrots and turnips,2006,t,701259.0
Carrots and turnips,2007,t,752277.0
Carrots and turnips,2008,t,719270.0
Carrots and turnips,2009,t,718700.0
Carrots and turnips,2010,t,763100.0
Carrots and turnips,2011,t,694104.0
Carrots and turnips,2012,t,674418.0
