food_code,units,rse_indicator,years,amount
Milk and milk products excluding cheese,ml,Very Low,2000,2164.0
"Liquid wholemilk, including school and welfare",ml,Medium,2000,680.0
"Liquid wholemilk, full price",ml,Medium,2000,653.0
UHT milk,ml,Very High,2000,9.0
Sterilised,ml,,2000,28.0
Pasteurised/ homogenised,ml,Medium,2000,616.0
School milk ,ml,,2000,12.0
Welfare milk,ml,,2000,15.0
Other milk and cream,ml,Low,2000,1484.0
Skimmed milks,ml,Low,2000,1159.0
Fully skimmed milk,ml,Medium,2000,165.0
Semi-skimmed milk,ml,Low,2000,994.0
Condensed or evaporated milk,eq ml,High,2000,27.0
Infant milks,eq ml,Very High,2000,38.0
Infant or baby milks - ready to drink,eq ml,Very High,2000,4.0
Infant or baby milks - dried,eq ml,Very High,2000,34.0
Instant dried milk,eq ml,Very High,2000,11.0
Yoghurt and fromage frais,ml,Low,2000,161.0
Yoghurt,ml,Low,2000,142.0
Fromage frais,ml,High,2000,18.0
Other milks and dairy desserts,ml,Medium,2000,66.0
Dairy desserts - not frozen,ml,Medium,2000,35.0
Dried milk products,ml,Very High,2000,3.0
Milk drinks and other milks ,ml,High,2000,29.0
Non-dairy milk substitutes ,ml,Medium,2000,
Cream,ml,Medium,2000,22.0
Cheese,g,Low,2000,109.0
Natural cheese,g,Low,2000,97.0
Hard cheese - cheddar type,g,Low,2000,67.0
Hard cheese - other uk or foreign equivalent,g,High,2000,10.0
Hard cheese - edam or other foreign,g,Medium,2000,6.0
Cottage cheese,g,High,2000,6.0
Soft natural cheese,g,Medium,2000,8.0
Processed cheese,g,Medium,2000,12.0
Carcase meat,g,Low,2000,235.0
Beef and veal,g,Low,2000,113.0
Beef joints - on the bone,g,Very High,2000,1.0
Beef joints - boned,g,High,2000,27.0
Beef steak - less expensive,g,Medium,2000,17.0
Beef steak - more expensive,g,High,2000,23.0
Minced beef,g,Medium,2000,44.0
All other beef and veal,g,Very High,2000,2.0
Mutton and lamb,g,High,2000,54.0
Mutton,g,Very High,2000,1.0
Lamb joints,g,Very High,2000,28.0
Lamb chops,g,High,2000,17.0
All other lamb,g,Very High,2000,8.0
Pork,g,Medium,2000,68.0
Pork joints,g,High,2000,24.0
Pork chops,g,High,2000,24.0
Pork fillets and steaks,g,High,2000,13.0
All other pork,g,High,2000,6.0
Non-carcase meat and meat products,g,Very Low,2000,779.0
Liver,g,Very High,2000,6.0
Ox liver,g,Very High,2000,1.0
Lambs liver,g,Very High,2000,3.0
Pigs liver,g,Very High,2000,2.0
All other liver,g,Very High,2000,1.0
All offal other than liver,g,Very High,2000,2.0
"Bacon and ham, uncooked",g,Medium,2000,70.0
"Bacon and ham joints, uncooked",g,High,2000,24.0
"Bacon and ham rashers, uncooked",g,Low,2000,46.0
"Bacon and ham, cooked",g,Low,2000,39.0
Cooked poultry not purchased in cans,g,Medium,2000,43.0
"Chicken and turkey, cooked",g,Medium,2000,33.0
Takeaway chicken,g,High,2000,10.0
"Corned beef, canned or sliced",g,Medium,2000,12.0
Other cooked meat,g,Medium,2000,7.0
Other canned meat and canned meat products,g,High,2000,30.0
