food_name,energy_kcal ,fat_g,saturates_g,carbohydrate_g,sugars_g,starch_g,fibre_g,protein_g,salt_g
"Ackee, canned, drained",155,15.2,4.44,0.8,0.8,0.0,1.8,2.9,0.60
"Agar, dried",180,1.2,0.30,0.0,0.0,0.0,81.1,1.6,0.28
"Agar, dried, soaked and drained",32,0.1,0.00,0.0,0.0,0.0,15.0,0.2,0.03
"Alfalfa sprouts, raw",27,0.7,0.07,0.3,0.3,0.0,1.7,4.0,0.02
"Allspice, ground",366,8.7,2.50,55.1,55.1,0.0,21.6,6.1,0.19
"Almonds, flaked and ground",650,55.8,4.43,6.5,4.0,2.5,9.9,25.4,0.04
"Almonds, toasted",618,52.5,4.09,5.6,4.9,0.7,10.9,25.3,0.01
"Almonds, weighed with shells",221,18.5,1.41,1.8,1.5,0.3,4.6,9.4,0.00
"Almonds, whole kernels",596,49.9,3.80,5.0,4.3,0.7,12.5,25.6,0.00
"Amaranth leaves, boiled in unsalted water",25,0.3,0.10,0.3,0.2,0.1,4.4,3.0,0.03
"Amaranth leaves, raw",27,0.3,0.10,0.3,0.2,0.1,4.4,3.5,0.03
Amla,35,0.1,0.00,4.0,3.4,0.6,7.8,0.5,0.01
"Anchovies, canned in oil, drained",191,10.0,1.60,0.0,0.0,0.0,0.0,25.2,14.68
Anise seeds,384,15.9,2.30,35.4,31.5,3.9,14.6,17.6,0.04
"Apple juice concentrate, unsweetened, commerical",244,0.6,0.10,57.0,57.0,0.0,0.0,0.5,0.03
"Apple juice, clear, ambient and chilled",40,0.0,0.00,9.6,9.6,0.0,0.0,0.1,0.01
"Apple sauce, homemade",85,0.2,0.05,19.4,19.4,0.0,1.4,0.3,0.01
"Apples, cooking, baked with sugar, flesh only",76,0.4,0.07,16.7,16.7,0.0,1.9,0.1,0.00
"Apples, cooking, baked with sugar, flesh only, weighed with skin",64,0.3,0.06,14.0,14.0,0.0,1.6,0.1,0.00
"Apples, cooking, baked without sugar, flesh only",55,0.4,0.07,11.3,11.3,0.0,2.0,0.1,0.00
"Apples, cooking, baked without sugar, flesh only, weighed with skin",46,0.3,0.06,9.5,9.5,0.0,1.7,0.1,0.00
"Apples, cooking, raw, flesh only, peeled",44,0.3,0.06,8.9,8.9,0.0,1.7,0.3,0.01
"Apples, cooking, raw, flesh only, weighed with skin and core",32,0.2,0.04,6.5,6.5,0.0,1.2,0.3,0.00
"Apples, cooking, stewed with sugar, flesh only",89,0.3,0.06,20.3,20.3,0.0,1.4,0.2,0.00
"Apples, cooking, stewed without sugar, flesh only",46,0.3,0.06,9.6,9.6,0.0,1.7,0.1,0.00
"Apples, eating, dried",277,0.5,0.10,59.3,59.3,0.0,9.7,2.0,0.04
"Apples, eating, raw, flesh and skin",59,0.5,0.12,11.5,11.5,0.0,1.2,0.6,0.00
"Apples, eating, raw, flesh and skin, weighed with core",50,0.4,0.10,9.9,9.9,0.0,1.0,0.5,0.00
"Apricots, dried",242,0.7,0.18,42.8,42.8,0.0,7.7,4.8,0.14
"Apricots, dried, stewed with sugar",113,0.3,0.00,21.6,21.6,0.0,3.0,1.9,0.05
"Apricots, dried, stewed without sugar",104,0.3,0.00,17.7,17.7,0.0,3.2,2.0,0.06
"Apricots, raw, flesh and skin",40,0.1,0.00,6.9,6.9,0.0,1.7,0.9,0.01
"Apricots, raw, flesh and skin, weighed with stones",37,0.1,0.00,6.3,6.3,0.0,1.6,0.8,0.01
"Apricots, ready-to-eat, semi-dried",201,0.5,0.13,39.2,39.2,0.0,5.3,2.2,0.02
"Apricots, stewed with sugar",81,0.1,0.00,17.6,17.6,0.0,1.6,0.7,0.00
"Apricots, stewed with sugar, weighed with stones",76,0.1,0.00,16.6,16.6,0.0,1.5,0.6,0.00
"Apricots, stewed without sugar",35,0.1,0.00,5.9,5.9,0.0,1.5,0.8,0.00
"Apricots, stewed without sugar, weighed with stones",33,0.1,0.00,5.5,5.5,0.0,1.4,0.7,0.00
